1,XEL_001,おもちゃエレクトロニクス,キャッチーなポップ曲．,0,,0,1
1,XEL_001v2,おもちゃエレクトロニクスv2,Logic Pro X 処女作．,0,,0,1
1,XEL_001v3,おもちゃエレクトロニクスv3,キャッチーなポップ曲．,0,,0,1
1,XEL_001v4,おもちゃエレクトロニクスv4,キャッチーなポップ曲．,0,,0,1
1,XEL_001A,おもちゃエレクトロニクス2018,3年前の曲をリメイク．この曲は柱に書いた成長記録のようだ．,0,,0,1
2,XEL_002,Gekioko,和風ハイテンポ曲．,0,,0,1
2,XEL_002v2,Gekiokov2,和風ハイテンポ曲．,0,,0,1
3,XEL_003,散歩,ゆったりした，開放感のあるポップス．,0,,0,1
3,XEL_003v2,散歩,ゆったりした，開放感のあるポップス．,0,,0,1
3,XEL_003v3,散歩,ゆったりした，開放感のあるポップス．,0,,0,1
3,XEL_003A,散歩(Logic Pro X),ゆったりした，開放感のあるポップス．,0,,0,1
4,XEL_004,Dark Night,Logic Pro X で始めてフルスクラッチで作った曲．,0,,0,1
5,XEL_005,戦闘!,RPGのバトルシーンBGM風味の曲．,0,,0,1
5,XEL_005v2,戦闘!v2,RPGのバトルシーンBGM風味の曲．,0,,0,1
6,XEL_006,Rainbow Sky,開放感のある曲のつもり．メロディに面白みがないなあって今おもう．,0,,0,1
6,XEL_006A,Rainbow Oasis,リメイクされた曲．ゲーム「Take Up Jewel」で使用．,0,,0,1
7,XEL_007,"Hello, Music Sheet",アプリ「Music Sheet」のプリセット曲．,0,,0,1
7,XEL_007A,"Hello, Logic Pro X",Logic Pro X で作ってみたHello world曲．,0,,0,1
8,XEL_008,ミズウミの花,ピアノオンリーのゆったりな曲．,0,,0,1
9,XEL_009,キカイノコエ,感情を持った機械がお話をするさまをイメージした曲．,0,,0,1
10,XEL_010,B地区,フィールドBGM風のつもり．メロディが微妙だと今は思う,0,,0,1
10,XEL_010v2,Area B,リメイクされたバージョン．メロディを魔改造した．,0,,0,1
11,XEL_011,栄光を称える,壮大な凱旋曲風．,0,,0,1
11,XEL_011A,Defender Story,ゲーム「Defender Story」のタイトル曲．,0,,0,1
12,XEL_012,草原をゆく,今でもとても気に入っている曲．,0,,0,1
12,XEL_012v2,草原をゆくv2,移調したりしたらしい,0,,0,1
12,XEL_012v3,草原をゆくv3,ベースがギザギザするようになった,0,,0,1
12,XEL_012v4,草原をゆくv4,さらに移調された．,0,,0,1
12,XEL_012v5,草原をゆくv5,Logic Pro X版から無理やりベースをもってきただけらしい．,0,,0,1
12,XEL_012A,草原をゆく(Logic Pro X),Logic Pro X でのリメイク．,0,,0,1
12,XEL_012B,草原をゆく2017,数年ぶりにリメイクされた名曲．ピアノ裏メロが追加され，移調された．,0,,0,1
13,XEL_013,House,曲名はジャンルのハウスのつもりらしい．,0,,0,1
13,XEL_013A,House(Logic Pro X),ロジプロ版．対して良いわけでもない．,0,,0,1
14,XEL_014,Tradition and Modern,キャッチーでエレクトロニクスな曲．比較的短い．,0,,0,1
14,XEL_014A,Tradition and Modern ~ Tradition Side,ファミコン風アレンジされたバージョン．Tradition sideって書いてあるのにワールドミュージックではないらしい．,0,,0,1
15,XEL_015,未来特急,J-POPライクな曲．,0,,0,1
15,XEL_015A,未来特急(Logic Pro X),J-POPライクな曲．,0,,0,1
16,XEL_016,夢を追い求めて,爽快なアップテンポポップス．,0,,0,1
16,XEL_016J,C016神社,爽快なアップテンポ神社アレンジ．,0,,0,1
16,XEL_016Jv2,新約C016神社,爽快なアップテンポ新約神社アレンジ．,0,,0,1
17,XEL_017,声なき泣き声,ピアノとストリングスのためのバラード曲．,0,,0,1
18,XEL_018,無題18,,0,,0,0
19,XEL_019,無題19,,0,,0,0
20,XEL_020,とても楽しい日々,J-POPライクなキャッチー曲．,0,,0,1
21,XEL_021,Finalizer,ラスボス戦,0,,0,1
21,XEL_021v2,Finalizer,ラスボス戦,0,,0,1
21,XEL_021v3,Finalizer,ラスボス戦,0,,0,1
21,XEL_021v4,Finalizer,ラスボス戦,0,,0,1
22,XEL_022,覚悟と決心,ちょっとインチキそうなボス戦,0,,0,1
22,XEL_022v2,Resolution,ちょっとインチキそうなボス戦,0,,0,1
22,XEL_022v3,Resolution,ちょっとインチキそうなボス戦,0,,0,1
22,XEL_022v4,Resolution,ちょっとインチキそうなボス戦,0,,0,1
22,XEL_022v5,Resolution,ちょっとインチキそうなボス戦,0,,0,1
23,XEL_023,みなとまち,貿易が盛んな海に面する街のBGM,0,,0,1
23,XEL_023A,みなとまち(夜),夜更けの静かなさまを演出したBGM,0,,0,1
23,XEL_023B,みなとまち(未来),工業が発展し，趣を失ってしまったようなBGM,0,,0,1
24,XEL_024,地を巡って,広い海を，希望に満ちた気持ちで渡る冒険者をイメージ,0,,0,1
24,XEL_024A,地を巡って(ピアノ),024 製作中のラフ,0,,0,1
25,XEL_025,無題25,何を作りたかったのかわからない,0,,0,0
26,XEL_026,ある日の夢の話,ピアノ曲．,0,,0,1
27,XEL_027v2,心からの親友,トモダチのテーマ,0,,0,1
28,XEL_028,冒険はまだ終わらない,中盤のフィールド曲,0,,0,1
28,XEL_028v2,冒険はまだ終わらない,中盤のフィールド曲,0,,0,1
29,XEL_029,Highway,高速道路をテーマにした曲,0,,0,1
30,XEL_030,無題30,,0,,0,0
31,XEL_031,森(仮称),のどかな森のマップBGM,0,,0,1
32,XEL_032,無題32,,0,,0,0
33,XEL_033,無題33,,0,,0,0
34,XEL_034,ニンジャエレクトロニクス,現代に溶け込む和風情緒,0,,0,1
34,XEL_034J,ジンジャエレクトロニクス,現代に溶け込む和風神社,0,,0,1
35,XEL_035,Insert Coin,"GAME PROGRAM ...... OK
SOUND DATA ...... OK
VRAM ...... OK

READY

AWESOME GAME

1P 1 COIN
2P 2 COINS

INSERT COIN(S)",0,,0,1
36,XEL_036,丑三つ時の赤い光,草木も眠る丑三つ時．一羽の兎が駆け抜ける．,0,,0,0
